,Symbol,Date,CO2
0,2026,2100,0.0
0,2026,2099,0.0
0,2026,2098,0.0
0,2026,2097,0.0
0,2026,2096,0.0
0,2026,2095,0.0
0,2026,2094,0.0
0,2026,2093,0.0
0,2026,2092,0.0
0,2026,2091,0.0
0,2026,2090,0.0
0,2026,2089,0.0
0,2026,2088,0.0
0,2026,2087,0.0
0,2026,2086,0.0
0,2026,2085,0.0
0,2026,2084,0.0
0,2026,2083,0.0
0,2026,2082,0.0
0,2026,2081,0.0
0,2026,2080,0.0
0,2026,2079,0.0
0,2026,2078,0.0
0,2026,2077,0.0
0,2026,2076,0.0
0,2026,2075,0.0
0,2026,2074,0.0
0,2026,2073,0.0
0,2026,2072,0.0
0,2026,2071,0.0
0,2026,2070,0.0
0,2026,2069,0.0
0,2026,2068,0.0
0,2026,2067,0.0
0,2026,2066,0.0
0,2026,2065,0.0
0,2026,2064,0.0
0,2026,2063,0.0
0,2026,2062,0.0
0,2026,2061,0.0
0,2026,2060,0.0
0,2026,2059,0.0
0,2026,2058,0.0
0,2026,2057,0.0
0,2026,2056,0.0
0,2026,2055,0.0
0,2026,2054,0.0
0,2026,2053,0.0
0,2026,2052,0.0
0,2026,2051,0.0
0,2026,2050,0.0
0,2026,2049,0.0
0,2026,2048,0.0
0,2026,2047,0.0
0,2026,2046,0.0
0,2026,2045,0.0
0,2026,2044,0.0
0,2026,2043,0.0
0,2026,2042,0.0
0,2026,2041,0.0
0,2026,2040,0.0
0,2026,2039,0.0
0,2026,2038,0.0
0,2026,2037,0.0
0,2026,2036,0.0
0,2026,2035,3e-06
0,2026,2034,2.5e-05
0,2026,2033,0.000188
0,2026,2032,0.001409
0,2026,2031,0.010301
0,2026,2030,0.072801
0,2026,2029,0.488679
0,2026,2028,3.006805
0,2026,2027,15.452112
0,2026,2026,42.332384
0,2025,2100,0.0
0,2025,2099,0.0
0,2025,2098,0.0
0,2025,2097,0.0
0,2025,2096,0.0
0,2025,2095,0.0
0,2025,2094,0.0
0,2025,2093,0.0
0,2025,2092,0.0
0,2025,2091,0.0
0,2025,2090,0.0
0,2025,2089,0.0
0,2025,2088,0.0
0,2025,2087,0.0
0,2025,2086,0.0
0,2025,2085,0.0
0,2025,2084,0.0
0,2025,2083,0.0
0,2025,2082,0.0
0,2025,2081,0.0
0,2025,2080,0.0
0,2025,2079,0.0
0,2025,2078,0.0
0,2025,2077,0.0
0,2025,2076,0.0
0,2025,2075,0.0
0,2025,2074,0.0
0,2025,2073,0.0
0,2025,2072,0.0
0,2025,2071,0.0
0,2025,2070,0.0
0,2025,2069,0.0
0,2025,2068,0.0
0,2025,2067,0.0
0,2025,2066,0.0
0,2025,2065,0.0
0,2025,2064,0.0
0,2025,2063,0.0
0,2025,2062,0.0
0,2025,2061,0.0
0,2025,2060,0.0
0,2025,2059,0.0
0,2025,2058,0.0
0,2025,2057,0.0
0,2025,2056,0.0
0,2025,2055,0.0
0,2025,2054,0.0
0,2025,2053,0.0
0,2025,2052,0.0
0,2025,2051,0.0
0,2025,2050,0.0
0,2025,2049,0.0
0,2025,2048,0.0
0,2025,2047,0.0
0,2025,2046,0.0
0,2025,2045,1e-06
0,2025,2044,2e-06
0,2025,2043,6e-06
0,2025,2042,1.7e-05
0,2025,2041,4.6e-05
0,2025,2040,0.000121
0,2025,2039,0.000322
0,2025,2038,0.000847
0,2025,2037,0.00222
0,2025,2036,0.005785
0,2025,2035,0.014969
0,2025,2034,0.038407
0,2025,2033,0.097551
0,2025,2032,0.244691
0,2025,2031,0.604088
0,2025,2030,1.460608
0,2025,2029,3.432257
0,2025,2028,7.738021
0,2025,2027,16.334836
0,2025,2026,30.556141
0,2025,2025,42.332384
0,2024,2100,0.0
0,2024,2099,0.0
0,2024,2098,0.0
0,2024,2097,0.0
0,2024,2096,0.0
0,2024,2095,0.0
0,2024,2094,0.0
0,2024,2093,0.0
0,2024,2092,0.0
0,2024,2091,0.0
0,2024,2090,0.0
0,2024,2089,0.0
0,2024,2088,0.0
0,2024,2087,0.0
0,2024,2086,0.0
0,2024,2085,0.0
0,2024,2084,0.0
0,2024,2083,0.0
0,2024,2082,0.0
0,2024,2081,0.0
0,2024,2080,0.0
0,2024,2079,0.0
0,2024,2078,0.0
0,2024,2077,0.0
0,2024,2076,0.0
0,2024,2075,0.0
0,2024,2074,0.0
0,2024,2073,0.0
0,2024,2072,0.0
0,2024,2071,0.0
0,2024,2070,0.0
0,2024,2069,0.0
0,2024,2068,0.0
0,2024,2067,0.0
0,2024,2066,0.0
0,2024,2065,0.0
0,2024,2064,0.0
0,2024,2063,0.0
0,2024,2062,0.0
0,2024,2061,0.0
0,2024,2060,0.0
0,2024,2059,0.0
0,2024,2058,0.0
0,2024,2057,0.0
0,2024,2056,0.0
0,2024,2055,1e-06
0,2024,2054,1e-06
0,2024,2053,2e-06
0,2024,2052,4e-06
0,2024,2051,8e-06
0,2024,2050,1.5e-05
0,2024,2049,2.9e-05
0,2024,2048,5.6e-05
0,2024,2047,0.000106
0,2024,2046,0.000201
0,2024,2045,0.000381
0,2024,2044,0.000721
0,2024,2043,0.001361
0,2024,2042,0.002564
0,2024,2041,0.004817
0,2024,2040,0.009022
0,2024,2039,0.016845
0,2024,2038,0.031333
0,2024,2037,0.05804
0,2024,2036,0.106997
0,2024,2035,0.196159
0,2024,2034,0.357307
0,2024,2033,0.645889
0,2024,2032,1.156881
0,2024,2031,2.049005
0,2024,2030,3.578423
0,2024,2029,6.137236
0,2024,2028,10.273821
0,2024,2027,16.622347
0,2024,2026,25.543915
0,2024,2025,35.981534
0,2024,2024,42.332384
0,2023,2100,0.0
0,2023,2099,0.0
0,2023,2098,0.0
0,2023,2097,0.0
0,2023,2096,0.0
0,2023,2095,0.0
0,2023,2094,0.0
0,2023,2093,0.0
0,2023,2092,0.0
0,2023,2091,0.0
0,2023,2090,0.0
0,2023,2089,0.0
0,2023,2088,0.0
0,2023,2087,0.0
0,2023,2086,0.0
0,2023,2085,0.0
0,2023,2084,0.0
0,2023,2083,0.0
0,2023,2082,0.0
0,2023,2081,0.0
0,2023,2080,0.0
0,2023,2079,0.0
0,2023,2078,0.0
0,2023,2077,0.0
0,2023,2076,0.0
0,2023,2075,0.0
0,2023,2074,0.0
0,2023,2073,0.0
0,2023,2072,0.0
0,2023,2071,0.0
0,2023,2070,0.0
0,2023,2069,0.0
0,2023,2068,0.0
0,2023,2067,0.0
0,2023,2066,0.0
0,2023,2065,0.0
0,2023,2064,1e-06
0,2023,2063,1e-06
0,2023,2062,2e-06
0,2023,2061,3e-06
0,2023,2060,5e-06
0,2023,2059,9e-06
0,2023,2058,1.4e-05
0,2023,2057,2.3e-05
0,2023,2056,3.7e-05
0,2023,2055,6.1e-05
0,2023,2054,9.8e-05
0,2023,2053,0.000158
0,2023,2052,0.000255
0,2023,2051,0.00041
0,2023,2050,0.00066
0,2023,2049,0.001061
0,2023,2048,0.001704
0,2023,2047,0.002731
0,2023,2046,0.004372
0,2023,2045,0.006987
0,2023,2044,0.011146
0,2023,2043,0.017747
0,2023,2042,0.028199
0,2023,2041,0.044706
0,2023,2040,0.070696
0,2023,2039,0.111486
0,2023,2038,0.175265
0,2023,2037,0.274573
0,2023,2036,0.428461
0,2023,2035,0.665609
0,2023,2034,1.02871
0,2023,2033,1.580422
0,2023,2032,2.411048
0,2023,2031,3.6476
0,2023,2030,5.462703
0,2023,2029,8.079101
0,2023,2028,11.760013
0,2023,2027,16.764504
0,2023,2026,23.225635
0,2023,2025,30.868451
0,2023,2024,38.408695
0,2023,2023,42.332384
0,2022,2100,0.0
0,2022,2099,0.0
0,2022,2098,0.0
0,2022,2097,0.0
0,2022,2096,0.0
0,2022,2095,0.0
0,2022,2094,0.0
0,2022,2093,0.0
0,2022,2092,0.0
0,2022,2091,0.0
0,2022,2090,0.0
0,2022,2089,0.0
0,2022,2088,0.0
0,2022,2087,0.0
0,2022,2086,0.0
0,2022,2085,0.0
0,2022,2084,0.0
0,2022,2083,0.0
0,2022,2082,0.0
0,2022,2081,0.0
0,2022,2080,0.0
0,2022,2079,0.0
0,2022,2078,0.0
0,2022,2077,0.0
0,2022,2076,0.0
0,2022,2075,0.0
0,2022,2074,1e-06
0,2022,2073,1e-06
0,2022,2072,1e-06
0,2022,2071,2e-06
0,2022,2070,3e-06
0,2022,2069,4e-06
0,2022,2068,6e-06
0,2022,2067,9e-06
0,2022,2066,1.3e-05
0,2022,2065,1.9e-05
0,2022,2064,2.8e-05
0,2022,2063,4.1e-05
0,2022,2062,6e-05
0,2022,2061,8.9e-05
0,2022,2060,0.00013
0,2022,2059,0.000191
0,2022,2058,0.000279
0,2022,2057,0.000409
0,2022,2056,0.000599
0,2022,2055,0.000876
0,2022,2054,0.00128
0,2022,2053,0.00187
0,2022,2052,0.002728
0,2022,2051,0.003976
0,2022,2050,0.00579
0,2022,2049,0.008421
0,2022,2048,0.012235
