,key,value,year
353,June,12.547,1779
352,May,14.18,1779
351,April,9.965,1779
350,March,6.9670000000000005,1779
349,February,5.14,1779
348,January,1.4700000000000002,1779
347,December,2.101,1778
346,November,3.854,1778
345,October,8.049,1778
344,September,13.377,1778
343,August,12.869000000000002,1778
342,July,15.037,1778
341,June,11.731,1778
340,May,11.286,1778
339,April,10.983999999999998,1778
338,March,4.604,1778
337,February,6.0939999999999985,1778
336,January,2.521,1778
335,December,3.0669999999999997,1777
334,November,5.529,1777
333,October,6.956,1777
332,September,11.379,1777
331,August,12.815,1777
330,July,12.743,1777
329,June,12.323,1777
328,May,11.389,1777
327,April,6.361999999999999,1777
326,March,5.572,1777
325,February,4.9190000000000005,1777
324,January,6.021000000000001,1777
323,December,5.021,1776
322,November,5.87,1776
321,October,8.059999999999999,1776
320,September,10.602,1776
319,August,14.837,1776
318,July,14.108,1776
317,June,14.564,1776
316,May,10.475,1776
315,April,7.439999999999999,1776
314,March,4.652,1776
313,February,4.825,1776
312,January,-0.8059999999999999,1776
311,December,1.2839999999999998,1775
310,November,8.179,1775
309,October,10.372,1775
308,September,11.095999999999998,1775
307,August,14.435,1775
306,July,14.719,1775
305,June,12.314,1775
304,May,11.399,1775
303,April,7.951999999999999,1775
302,March,7.759,1775
301,February,6.4270000000000005,1775
300,January,4.261,1775
299,December,0.31,1774
298,November,3.029,1774
297,October,8.59,1774
296,September,10.936,1774
295,August,14.099,1774
294,July,16.521,1774
293,June,15.371,1774
292,May,16.025,1774
291,April,10.153,1774
290,March,5.643,1774
289,February,4.914,1774
288,January,-0.3249999999999997,1774
287,December,5.090999999999998,1773
286,November,3.369,1773
285,October,9.206,1773
284,September,12.488,1773
283,August,13.624,1773
282,July,14.484000000000002,1773
281,June,12.811,1773
280,May,12.764,1773
279,April,9.415,1773
278,March,4.4220000000000015,1773
277,February,1.4209999999999998,1773
276,January,-0.4369999999999998,1773
275,December,5.5120000000000005,1772
274,November,7.736000000000001,1772
273,October,9.268,1772
272,September,10.303,1772
271,August,14.098,1772
270,July,14.581,1772
269,June,12.646999999999998,1772
268,May,9.531,1772
267,April,8.857999999999997,1772
266,March,3.057,1772
265,February,1.4780000000000002,1772
264,January,1.253,1772
263,December,2.522,1771
262,November,4.916,1771
261,October,10.317,1771
260,September,11.363,1771
259,August,14.204,1771
258,July,13.828,1771
257,June,14.104,1771
256,May,9.626,1771
255,April,5.716999999999999,1771
254,March,2.8139999999999996,1771
253,February,-0.2739999999999999,1771
252,January,5.101,1771
251,December,4.734,1770
250,November,5.791,1770
249,October,8.661,1770
248,September,10.724,1770
247,August,11.413,1770
246,July,11.621,1770
245,June,11.884,1770
244,May,9.996,1770
243,April,9.788,1770
242,March,1.612,1770
241,February,4.105,1770
240,January,1.974,1770
239,December,-0.9780000000000002,1769
238,November,2.79,1769
237,October,5.296999999999999,1769
236,September,11.25,1769
235,August,13.494000000000002,1769
234,July,14.461,1769
233,June,15.142,1769
232,May,12.873,1769
231,April,8.966999999999997,1769
230,March,4.57,1769
229,February,2.164,1769
228,January,2.305,1769
227,December,2.667,1768
226,November,4.581,1768
225,October,7.728999999999999,1768
224,September,10.824000000000002,1768
223,August,12.352,1768
222,July,13.875,1768
221,June,12.489999999999998,1768
220,May,9.066,1768
219,April,6.92,1768
218,March,2.4459999999999997,1768
217,February,0.5060000000000002,1768
216,January,-2.08,1768
215,December,1.189,1767
214,November,7.915,1767
213,October,9.027,1767
212,September,11.675,1767
211,August,14.597,1767
210,July,13.361,1767
209,June,14.112,1767
208,May,10.193,1767
207,April,6.278,1767
206,March,7.022,1767
205,February,3.932,1767
204,January,-0.6430000000000002,1767
203,December,2.333,1766
202,November,7.4540000000000015,1766
201,October,8.465,1766
200,September,12.25,1766
199,August,13.758,1766
198,July,13.555,1766
197,June,13.653,1766
196,May,11.228,1766
195,April,8.007,1766
194,March,6.062,1766
193,February,4.896,1766
192,January,-0.7930000000000001,1766
191,December,2.399,1765
190,November,5.603,1765
189,October,7.904,1765
188,September,10.993,1765
187,August,13.12,1765
186,July,13.953,1765
185,June,10.832999999999998,1765
184,May,10.734000000000002,1765
183,April,9.013,1765
182,March,6.859,1765
181,February,3.832,1765
180,January,3.78,1765
179,December,5.315,1764
178,November,5.791,1764
177,October,10.011,1764
176,September,10.696,1764
175,August,12.282,1764
174,July,12.507,1764
173,June,11.723,1764
172,May,11.175,1764
171,April,7.879999999999999,1764
170,March,5.521,1764
169,February,6.162000000000001,1764
168,January,1.741,1764
167,December,3.384,1763
166,November,4.588,1763
165,October,5.535,1763
164,September,11.378,1763
163,August,14.126,1763
162,July,16.391,1763
161,June,12.271,1763
160,May,10.701,1763
159,April,7.870999999999999,1763
158,March,1.5760000000000003,1763
157,February,0.7709999999999999,1763
156,January,1.3690000000000002,1763
155,December,3.123,1762
154,November,6.367000000000001,1762
153,October,6.156000000000001,1762
152,September,10.326,1762
151,August,13.992,1762
150,July,14.72,1762
149,June,13.499,1762
148,May,10.880999999999998,1762
147,April,9.019,1762
146,March,3.5280000000000005,1762
145,February,4.801,1762
144,January,6.8660000000000005,1762
143,December,-0.8370000000000002,1761
142,November,5.0889999999999995,1761
141,October,7.2269999999999985,1761
140,September,12.534999999999998,1761
139,August,15.331,1761
138,July,19.021,1761
137,June,16.820999999999998,1761
136,May,13.451,1761
135,April,7.321000000000001,1761
134,March,5.976,1761
133,February,2.735,1761
132,January,0.6000000000000001,1761
131,December,2.553,1760
130,November,5.436,1760
129,October,6.7010000000000005,1760
128,September,11.197,1760
127,August,13.917,1760
126,July,12.887,1760
125,June,11.945,1760
124,May,10.661,1760
123,April,7.435999999999999,1760
122,March,1.864,1760
121,February,2.436,1760
120,January,-0.8109999999999999,1760
119,December,0.2469999999999999,1759
118,November,4.268000000000002,1759
117,October,8.267000000000001,1759
116,September,12.626,1759
115,August,14.587,1759
114,July,12.526,1759
113,June,13.512,1759
112,May,10.189,1759
111,April,5.983,1759
110,March,4.52,1759
109,February,4.082,1759
108,January,5.013999999999999,1759
107,December,3.249,1758
106,November,6.955,1758
105,October,1.8939999999999992,1758
104,September,10.028,1758
103,August,11.818,1758
102,July,13.847,1758
101,June,13.139,1758
100,May,9.715,1758
99,April,7.209999999999999,1758
98,March,3.765,1758
97,February,0.8059999999999999,1758
96,January,-1.5029999999999997,1758
95,December,1.0210000000000004,1757
94,November,4.032,1757
93,October,6.481999999999998,1757
92,September,14.852,1757
91,August,17.91,1757
90,July,17.61,1757
89,June,17.115,1757
88,May,13.039,1757
87,April,8.245999999999999,1757
86,March,4.529,1757
85,February,3.704,1757
84,January,-0.2760000000000002,1757
83,December,2.165,1756
82,November,4.225,1756
81,October,7.3119999999999985,1756
80,September,12.652,1756
79,August,13.437,1756
78,July,13.906,1756
77,June,14.547,1756
76,May,14.163999999999998,1756
75,April,10.042,1756
74,March,4.192,1756
73,February,5.666,1756
72,January,3.887,1756
71,December,2.5639999999999996,1755
70,November,5.957999999999999,1755
69,October,9.97,1755
68,September,11.773,1755
67,August,13.515,1755
66,July,14.397,1755
65,June,15.38,1755
64,May,12.880999999999998,1755
63,April,9.263,1755
62,March,3.607,1755
61,February,-0.1080000000000001,1755
60,January,1.067,1755
59,December,4.587,1754
58,November,6.1610000000000005,1754
57,October,9.582,1754
56,September,11.129,1754
55,August,13.556,1754
54,July,14.681,1754
53,June,14.388,1754
52,May,11.936,1754
51,April,11.61,1754
50,March,3.677,1754
49,February,-1.2489999999999997,1754
48,January,1.574,1754
47,December,0.5589999999999997,1753
46,November,5.353,1753
45,October,8.962,1753
44,September,13.322,1753
43,August,14.148,1753
42,July,15.092,1753
41,June,14.585,1753
40,May,12.186,1753
39,April,8.272,1753
38,March,5.4239999999999995,1753
37,February,0.7149999999999999,1753
36,January,2.039,1753
35,December,5.086,1752
34,November,7.335,1752
33,October,7.838999999999999,1752
32,September,,1752
31,August,,1752
30,July,,1752
29,June,,1752
28,May,,1752
27,April,8.264999999999999,1752
26,March,5.806,1752
25,February,,1752
24,January,0.3480000000000003,1752
23,December,,1751
22,November,,1751
21,October,,1751
20,September,10.673,1751
19,August,14.405,1751
18,July,,1751
17,June,13.827,1751
16,May,,1751
15,April,7.67,1751
14,March,5.8,1751
13,February,0.963,1751
12,January,2.495,1751
11,December,2.772,1750
10,November,,1750
9,October,6.366999999999999,1750
8,September,11.412999999999998,1750
7,August,14.75,1750
6,July,15.868,1750
5,June,12.937,1750
4,May,11.573,1750
3,April,8.49,1750
2,March,5.626,1750
1,February,3.083,1750
0,January,3.0340000000000003,1750
